heldout_oracle_group,target_id,method,oracle_candidate,oracle_group,oracle_tm_like,selected_top1_candidate,selected_top1_group,selected_best_in_top5_candidate,selected_best_group,best_of_5_tm_like,tm_like_regret,oracle_in_top5,feature_group
TS128,R1149,hybrid,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS235_4,TS235,0.0382510436755594,0.2085367183214897,False,geometry
TS128,R1149,compact,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS248_1,TS248,0.0706908549370631,0.17609690705998599,False,geometry
TS128,R1149,low_clash,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS029_1,TS029,casp15_R1149TS239_4,TS239,0.0563144538836455,0.1904733081134036,False,geometry
TS128,R1149,contact,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS235_4,TS235,0.0382510436755594,0.2085367183214897,False,geometry
TS128,R1149,invariant_ridge,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS185_2,TS185,0.036175998600152,0.2106117633968971,False,geometry
TS128,R1149,invariant_gbr,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS029_4,TS029,casp15_R1149TS287_3,TS287,0.0554245167691049,0.1913632452279442,False,geometry
TS128,R1149,invariant_rf,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS029_4,TS029,casp15_R1149TS035_2,TS035,0.0712322863924782,0.1755554756045709,False,geometry
TS128,R1149,invariant_pairwise,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS177_1,TS177,casp15_R1149TS185_2,TS185,0.036175998600152,0.2106117633968971,False,geometry
TS128,R1149,invariant_ensemble,casp15_R1149TS128_1,TS128,0.2467877619970491,casp15_R1149TS029_4,TS029,casp15_R1149TS054_2,TS054,0.03162805093431,0.2151597110627391,False,geometry
TS128,R1156,hybrid,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS238_4,TS238,0.0333248825864672,0.23050568997503268,False,geometry
TS128,R1156,compact,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS235_5,TS235,0.0404463493129894,0.22338422324851048,False,geometry
TS128,R1156,low_clash,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS029_1,TS029,casp15_R1156TS239_1,TS239,0.0533013756564594,0.2105291969050405,False,geometry
TS128,R1156,contact,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS238_4,TS238,0.0333248825864672,0.23050568997503268,False,geometry
TS128,R1156,invariant_ridge,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS029_5,TS029,casp15_R1156TS119_5,TS119,0.045962886156236,0.21786768640526388,False,geometry
TS128,R1156,invariant_gbr,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS287_1,TS287,0.0680736411010117,0.19575693146048817,False,geometry
TS128,R1156,invariant_rf,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS229_1,TS229,0.0533013756564594,0.2105291969050405,False,geometry
TS128,R1156,invariant_pairwise,casp15_R1156TS128_5,TS128,0.2638305725614999,casp15_R1156TS177_1,TS177,casp15_R1156TS238_4,TS238,0.0333248825864672,0.23050568997503268,False,geometry
